scheme_id,name,region,status,created_at,updated_at,base_rate
sch_0,SCH-M6KG5M,Maharashtra,paused,2025-04-21T20:00:50.430392,2025-08-17T20:00:50.430392,1.209
sch_1,SCH-FM8O4L,Punjab,active,2024-09-30T20:00:50.430392,2024-11-04T20:00:50.430392,1.622
sch_2,SCH-F5O3XE,Karnataka,active,2025-02-07T20:00:50.430392,2025-08-18T20:00:50.430392,1.076
sch_3,SCH-JRAUGV,West Bengal,active,2024-07-13T20:00:50.430392,2024-08-30T20:00:50.430392,0.832
sch_4,SCH-6JPCOM,Nagaland,active,2024-06-19T20:00:50.430392,2025-06-14T20:00:50.430392,1.946
sch_5,SCH-C2OI1Z,Maharashtra,active,2025-01-28T20:00:50.430392,2025-08-04T20:00:50.430392,1.548
sch_6,SCH-Y41LEO,Madhya Pradesh,active,2025-01-22T20:00:50.430392,2025-04-07T20:00:50.430392,1.43
sch_7,SCH-3A5UIO,Gujarat,paused,2024-11-17T20:00:50.430392,2025-02-28T20:00:50.430392,0.666
sch_8,SCH-VCP0IB,Maharashtra,active,2024-09-22T20:00:50.430392,2025-08-08T20:00:50.430392,0.752
sch_9,SCH-4I1123,Rajasthan,active,2024-05-19T20:00:50.430392,2025-08-17T20:00:50.430392,1.04
sch_10,SCH-90N3SG,Tamil Nadu,active,2025-05-14T20:00:50.430392,2025-06-12T20:00:50.430392,0.92
sch_11,SCH-IQ4QOM,Uttar Pradesh,active,2025-06-12T20:00:50.430392,2025-07-16T20:00:50.430392,0.56
sch_12,SCH-1WKR90,Uttar Pradesh,active,2024-07-27T20:00:50.430392,2024-10-25T20:00:50.430392,0.728
sch_13,SCH-13ZMPO,Delhi,active,2025-07-20T20:00:50.430392,2025-07-23T20:00:50.430392,1.791
sch_14,SCH-2XIO82,Madhya Pradesh,active,2024-12-08T20:00:50.430392,2025-05-13T20:00:50.430392,1.921
sch_15,SCH-K02C6X,Tamil Nadu,active,2025-02-09T20:00:50.430392,2025-08-09T20:00:50.430392,1.515
sch_16,SCH-P8N6ED,Tamil Nadu,active,2025-05-06T20:00:50.430392,2025-07-28T20:00:50.430392,0.855
sch_17,SCH-9QI5IN,Gujarat,active,2024-10-28T20:00:50.430392,2025-03-28T20:00:50.430392,1.038
sch_18,SCH-N0SI08,Telangana,paused,2024-03-14T20:00:50.430392,2024-12-30T20:00:50.430392,1.522
sch_19,SCH-OG8GNM,Madhya Pradesh,active,2024-06-20T20:00:50.430392,2025-01-25T20:00:50.430392,0.27
sch_20,SCH-HC7YJM,Assam,paused,2025-07-08T20:00:50.430392,2025-07-17T20:00:50.430392,0.993
sch_21,SCH-FH16N5,Uttar Pradesh,active,2024-10-15T20:00:50.430392,2025-02-03T20:00:50.430392,1.721
sch_22,SCH-A9L67A,Jammu and Kashmir,active,2025-07-18T20:00:50.430392,2025-08-15T20:00:50.430392,1.963
sch_23,SCH-EQLND8,Maharashtra,active,2024-08-04T20:00:50.430392,2025-06-14T20:00:50.430392,1.491
sch_24,SCH-S9JGXV,Uttar Pradesh,active,2024-07-11T20:00:50.430392,2024-12-09T20:00:50.430392,0.699
sch_25,SCH-1DLWZT,Rajasthan,paused,2025-01-26T20:00:50.430392,2025-04-27T20:00:50.430392,1.391
sch_26,SCH-NLXSNZ,Kerala,active,2024-09-18T20:00:50.430392,2025-07-15T20:00:50.430392,0.823
sch_27,SCH-WXCGZG,Karnataka,paused,2024-07-27T20:00:50.430392,2024-10-11T20:00:50.430392,0.562
sch_28,SCH-GEHDZM,Uttar Pradesh,active,2024-07-28T20:00:50.430392,2025-08-12T20:00:50.430392,0.287
sch_29,SCH-W560LV,Uttar Pradesh,active,2024-08-18T20:00:50.430392,2025-08-01T20:00:50.430392,0.612
sch_30,SCH-W8TKL6,Bihar,active,2024-03-14T20:00:50.430392,2025-02-25T20:00:50.430392,1.087
sch_31,SCH-WEH6U3,Maharashtra,active,2024-07-17T20:00:50.430392,2025-02-17T20:00:50.430392,1.294
sch_32,SCH-H6FA7Y,Odisha,paused,2024-11-24T20:00:50.430392,2025-03-25T20:00:50.430392,0.274
sch_33,SCH-I45AN2,Karnataka,active,2025-03-15T20:00:50.430392,2025-04-30T20:00:50.430392,1.891
sch_34,SCH-2Z50R1,Jharkhand,active,2024-07-17T20:00:50.430392,2024-10-13T20:00:50.430392,0.944
sch_35,SCH-9WAD1P,Manipur,active,2024-04-11T20:00:50.430392,2024-09-28T20:00:50.430392,0.503
sch_36,SCH-JBCWH7,Jammu and Kashmir,active,2024-09-07T20:00:50.430392,2025-05-25T20:00:50.430392,1.794
sch_37,SCH-0E9UJR,Chhattisgarh,active,2024-07-21T20:00:50.430392,2025-08-09T20:00:50.430392,0.862
sch_38,SCH-152JC9,Uttarakhand,active,2025-07-26T20:00:50.430392,2025-07-28T20:00:50.430392,0.202
sch_39,SCH-EADUG1,Maharashtra,active,2024-10-29T20:00:50.430392,2025-03-12T20:00:50.430392,0.355
sch_40,SCH-FPWX8L,Andhra Pradesh,active,2024-11-05T20:00:50.430392,2025-03-28T20:00:50.430392,1.841
sch_41,SCH-GVUNU1,Karnataka,active,2025-04-11T20:00:50.430392,2025-06-22T20:00:50.430392,1.195
sch_42,SCH-7SF1AH,Bihar,paused,2024-07-14T20:00:50.430392,2024-12-18T20:00:50.430392,0.623
sch_43,SCH-OBETKC,Madhya Pradesh,paused,2025-03-29T20:00:50.430392,2025-05-09T20:00:50.430392,1.4
sch_44,SCH-02H7BY,Maharashtra,active,2024-04-09T20:00:50.430392,2024-10-26T20:00:50.430392,0.968
sch_45,SCH-O72UMW,Bihar,active,2025-06-16T20:00:50.430392,2025-08-05T20:00:50.430392,0.584
sch_46,SCH-AN274A,Himachal Pradesh,active,2025-03-19T20:00:50.430392,2025-05-01T20:00:50.430392,1.369
sch_47,SCH-XHWKU4,Uttar Pradesh,active,2024-06-24T20:00:50.430392,2025-04-14T20:00:50.430392,1.721
